﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1kgws2l8gsvDhtsVyzWbu9","Overnight","Parcels","Overnight","1","1","219602","spotify:user:abcportugal1988","2017-09-26T13:41:11Z"
"spotify:track:5280Me7PZs7P2UPVfcSOEq","Baybee","Jay Som","Everybody Works","1","6","225253","spotify:user:abcportugal1988","2017-09-26T14:00:22Z"
"spotify:track:1Y15qHACvhsRxRTxvbI1Qj","Everybody Does","Julien Baker","Sprained Ankle","1","4","145888","spotify:user:abcportugal1988","2017-09-26T14:08:16Z"
"spotify:track:6yV07yVfbB7Gb15o2MqG8q","Truth","Kamasi Washington","Truth","1","1","810322","spotify:user:abcportugal1988","2017-09-26T14:30:07Z"
"spotify:track:4VZM71F8XAoLRuNyNLxwWS","29 #Strafford APTS","Bon Iver","22, A Million","1","5","245200","spotify:user:abcportugal1988","2017-09-26T14:35:26Z"
"spotify:track:2CzyAi4to9a4oPh4mFZMCW","The First Time Ever I Saw Your Face","The Flaming Lips, Erykah Badu","The Flaming Lips And Heady Fwends","1","11","604066","spotify:user:abcportugal1988","2017-09-26T14:49:23Z"
"spotify:track:5a4d1YVJ3OBFRqgAhRK36o","No Matter Where We Go","Whitney","Light Upon the Lake","1","6","161746","spotify:user:abcportugal1988","2017-09-26T17:25:49Z"
"spotify:track:4A4yi3loAgIpq0qHZLC9py","1998","Chet Faker, Banks","1998","1","1","224026","spotify:user:abcportugal1988","2017-09-26T23:02:09Z"
"spotify:track:6Jz6K1LBGmYqirDbkk2y2K","Slip","Elliot Moss","Highspeeds","1","3","298906","spotify:user:abcportugal1988","2017-09-26T23:19:13Z"
"spotify:track:4yUZPM6OfAY1KJik9rsveW","Hoops","The Rubens","Hoops","1","3","158946","spotify:user:abcportugal1988","2017-09-26T23:22:26Z"
"spotify:track:4l3yM2aEkcijkEkZv33lLd","Better Sit Down Boy","Confidence Man","Better Sit Down Boy","1","1","204840","spotify:user:abcportugal1988","2017-09-26T23:31:14Z"
"spotify:track:1R3iCFdkpUvP64AR0jKKPm","If Looks Could Kill","Camera Obscura","Let's Get Out Of This Country","1","8","209840","spotify:user:abcportugal1988","2017-09-28T12:41:45Z"
"spotify:track:3g75FaISBHgdqR8d3yb80i","Sprained Ankle","Julien Baker","Sprained Ankle","1","2","142046","spotify:user:abcportugal1988","2017-09-28T12:44:39Z"
"spotify:track:2CcLBFxWgi2X3ZRzqlkoul","Marilyn Monroe","Sevdaliza","Ison","1","3","208954","spotify:user:abcportugal1988","2017-09-28T12:48:13Z"
"spotify:track:2Ab2xJJw3hcXBi7LZM3PC5","Ba$$in","Yelle","Complètement fou","1","2","179373","spotify:user:abcportugal1988","2017-09-28T12:49:54Z"
"spotify:track:6ssPcgoSVWIKeCvt5COgZx","Breath","YEIN","5","1","4","209935","spotify:user:abcportugal1988","2017-09-28T19:19:46Z"
"spotify:track:6ddhpONHD37AnPMQUkReQt","Slack Jaw - Echo Mountain Sessions","Sylvan Esso","Echo Mountain Sessions EP","1","4","210060","spotify:user:abcportugal1988","2017-09-28T19:22:54Z"
"spotify:track:0KGM1gftECJvXNfQ9W6ovA","Into Yellow","Martin Luke Brown","Into Yellow","1","1","162452","spotify:user:abcportugal1988","2017-10-01T14:27:15Z"
"spotify:track:06nw88aK8vHYRnT4JPrE7I","Wasted Youth","Sody, Martin Luke Brown","Wasted Youth","1","1","204871","spotify:user:abcportugal1988","2017-10-01T14:30:07Z"
"spotify:track:2YSwT1dsBBommgdxywislY","Headlights","Tor Miller","American English","1","6","226419","spotify:user:abcportugal1988","2017-10-01T14:34:04Z"
"spotify:track:30s2kMSgTWYjjMphKvcY04","You Don't Think You Like People Like Me","Alex Lahey","B-Grade University","1","4","227529","spotify:user:abcportugal1988","2017-10-01T14:40:29Z"
"spotify:track:5yWqyzm7pmm1EDchxMyN7p","No Exit","Tennis","No Exit","1","1","234306","spotify:user:abcportugal1988","2017-10-01T23:38:34Z"
"spotify:track:6apwnMLWb8cu3Q2OcacWu6","Asido","Purity Ring","Asido","1","1","220613","spotify:user:abcportugal1988","2017-10-01T23:41:29Z"
"spotify:track:1acb8u70kClk6NjITaZyuG","Bike Dream","Rostam","Half-Light","1","2","201760","spotify:user:abcportugal1988","2017-10-04T10:51:38Z"
"spotify:track:4mAeYP6WtMW4yQTbAd4PRV","Deadcrush","alt-J","RELAXER","1","5","232013","spotify:user:abcportugal1988","2017-10-04T10:54:13Z"
"spotify:track:1pFv1c5KieQm79zCr4qYVU","Hope For Something","Panama","Hope For Something","1","1","234734","spotify:user:abcportugal1988","2017-10-04T11:00:42Z"
"spotify:track:4Ha7QKlFXwsS0MEFlFEXBo","Falling (feat. Shamir)","House of Feelings, Shamir","Falling (feat. Shamir)","1","1","198740","spotify:user:abcportugal1988","2017-10-06T15:57:49Z"
"spotify:track:0bZOa6mrw8O689QWmOvpoN","Calm Me Down","Ben Cocks, Adam Connor","Songbirds","1","1","223077","spotify:user:abcportugal1988","2017-10-10T11:59:51Z"
"spotify:track:5FhC1lQjMycV3Gp1QhWV62","Boa Companhia","Luís Severo","Luis Severo","1","6","203174","spotify:user:abcportugal1988","2017-10-11T23:28:02Z"
"spotify:track:7c06HxUF8mXPYccxQT6cYM","Boy To Beastie","The Van Jets","Boy To Beastie","1","1","188000","spotify:user:abcportugal1988","2017-10-13T11:38:39Z"
"spotify:track:5ZBzxiakij8j7QwzEfXuCu","Jewels","Warhola","Jewels","1","1","210002","spotify:user:abcportugal1988","2017-10-13T21:37:30Z"
"spotify:track:5WtQrdYunFhgVSLD9e8oKY","On + Off","Maggie Rogers","Now That The Light Is Fading","1","3","221533","spotify:user:abcportugal1988","2017-10-14T02:24:55Z"
"spotify:track:2nvZv4qatgsDIbEqqbQLUT","West Coast","Coconut Records","Nighttiming","1","2","210106","spotify:user:abcportugal1988","2017-10-14T02:32:01Z"
"spotify:track:6qnaCx4wQQBqFd9XdQyWjC","Name For You","The Shins","Heartworms","1","1","189493","spotify:user:abcportugal1988","2017-10-14T02:32:06Z"
"spotify:track:7IFmNtlfvjiqVA1oFVSqtQ","I Was Alive Back Then (feat. Half Waif)","Kevin Devine, Half Waif","I Was Alive Back Then (feat. Half Waif)","1","1","309220","spotify:user:abcportugal1988","2017-10-14T02:49:34Z"
"spotify:track:6HqWcIutC3Bwk6awM1jnGP","Elephant","Tame Impala","Lonerism","1","9","211226","spotify:user:abcportugal1988","2017-10-14T11:38:08Z"
"spotify:track:02q6smWRlEqAeoeD1jPsOI","Corazón","Capitão Fausto","Capitão Fausto Têm os Dias Contados","1","4","251066","spotify:user:abcportugal1988","2017-10-15T14:31:54Z"
